FullDate	ADR
201527	100.09909604519774
201528	110.39918819188192
201529	128.11202346041054
201530	140.5922712933754
201531	145.56383285302593
201532	156.86253472222222
201533	164.523884057971
201534	161.13308441558442
201535	145.00025559105433
201536	98.01012626262627
201537	94.91272151898734
201538	71.83104910714286
201539	75.95970760233918
201540	63.26895061728395
201541	63.22137855579869
201542	52.53546325878594
201543	57.213033419023134
201544	45.366334661354585
201545	45.8119776119403
201546	51.560461538461546
201547	46.91126721763086
201548	41.754230769230766
201549	53.555544554455444
201550	44.31763005780347
201551	47.454476744186046
201552	55.823041958041955
201553	110.61576086956522
201601	69.63058823529413
201602	47.53343434343435
201603	42.44705607476636
201604	43.494093264248704
201605	44.262651933701655
201606	51.05617469879518
201607	58.62280777537797
201608	52.486872586872586
201609	55.31170960187353
201610	51.57000000000001
201611	49.335857142857144
201612	47.683857868020304
201613	72.34186516853933
201614	61.96
201615	63.27551162790698
201616	68.7540599455041
201617	69.80937360178972
201618	71.13537391304347
201619	71.05173333333333
201620	66.96318584070796
201621	71.00646186440679
201622	73.449
201623	88.53241116751268
201624	103.28863636363636
201625	106.73731778425656
201626	98.333125
201627	106.04494736842106
201628	129.75328519855594
201629	151.71730886850153
201630	167.0486956521739
201631	175.47692771084337
201632	189.72015873015874
201633	204.20334975369457
201634	201.9427568922306
201635	183.0937950138504
201636	142.3345833333333
201637	121.45372239747634
201638	105.41383435582823
201639	96.33009852216748
201640	89.59888888888888
201641	73.669725
201642	65.83019464720195
201643	67.30153409090909
201644	61.609431578947365
201645	53.653104265402845
201646	50.21272727272727
201647	51.399101449275356
201648	48.58602316602317
201649	55.84714743589744
201650	59.584782608695654
201651	45.597906976744184
201652	61.22803921568627
201653	120.78847953216375
201701	54.353488372093025
201702	48.72030888030888
201703	51.701445427728615
201704	50.52825153374233
201705	49.78203125
201706	56.185514285714284
201707	57.799410430839
201708	55.27926086956521
201709	53.95722826086956
201710	57.4345945945946
201711	59.72814589665654
201712	54.04828244274809
201713	65.76393442622951
201714	78.04821621621622
201715	98.80672268907563
201716	82.1267268041237
201717	90.48381679389313
201718	85.81940503432494
201719	84.46819121447028
201720	83.25621451104101
201721	84.12304147465439
201722	102.08452793834297
201723	113.7482402234637
201724	117.5521850899743
201725	124.0583379501385
201726	127.02865336658354
201727	151.2356896551724
201728	172.2686590909091
201729	189.16831978319783
201730	198.2226854219949
201731	208.71251184834122
201732	211.52835051546393
201733	211.1620403587444
201734	210.28488250652742
201735	186.20400722021662
