,label,prediction,probability
0,0.0,0.0,"[0.9314425575701684,0.06855744242983164]"
1,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
2,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
3,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
4,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
5,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
6,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
7,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
8,0.0,0.0,"[0.8090487269487285,0.19095127305127146]"
9,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
10,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
11,0.0,0.0,"[0.9399818370169389,0.06001816298306106]"
12,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
13,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
14,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
15,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
16,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
17,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
18,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
19,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
20,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
21,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
22,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
23,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
24,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
25,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
26,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
27,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
28,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
29,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
30,0.0,0.0,"[0.9448880325860368,0.05511196741396318]"
31,0.0,0.0,"[0.9399818370169389,0.06001816298306106]"
