,label,prediction,probability
0,0.0,1.0,"[0.3328517247925773,0.6671482752074227]"
1,0.0,1.0,"[0.33385578033961344,0.6661442196603866]"
2,0.0,1.0,"[0.33385578033961344,0.6661442196603866]"
3,0.0,1.0,"[0.3295129995457048,0.6704870004542952]"
4,0.0,1.0,"[0.22810083419630225,0.7718991658036978]"
5,0.0,0.0,"[0.9581764069015356,0.041823593098464396]"
6,0.0,0.0,"[0.9581764069015356,0.041823593098464396]"
7,0.0,0.0,"[0.6395843635910753,0.3604156364089247]"
8,0.0,0.0,"[0.6124633525402404,0.3875366474597596]"
9,0.0,1.0,"[0.2552219002132044,0.7447780997867957]"
10,0.0,1.0,"[0.20688151795224027,0.7931184820477597]"
11,0.0,0.0,"[0.8422727740833349,0.1577272259166651]"
12,0.0,0.0,"[0.9303157544966126,0.06968424550338737]"
13,0.0,0.0,"[0.8292618275575389,0.17073817244246114]"
14,0.0,0.0,"[0.954782657291701,0.045217342708299024]"
15,0.0,0.0,"[0.9052660791156842,0.09473392088431576]"
16,0.0,0.0,"[0.8778285046306274,0.12217149536937255]"
17,0.0,0.0,"[0.8778285046306274,0.12217149536937255]"
18,0.0,0.0,"[0.9084422248835424,0.09155777511645757]"
19,0.0,0.0,"[0.9239113982835471,0.07608860171645293]"
20,0.0,1.0,"[0.36100579586724424,0.6389942041327558]"
21,0.0,1.0,"[0.34483089958744106,0.6551691004125589]"
22,0.0,0.0,"[0.9549419599961996,0.045058040003800426]"
23,0.0,0.0,"[0.9552221653357976,0.044777834664202376]"
24,0.0,0.0,"[0.8806316305428209,0.1193683694571791]"
25,0.0,0.0,"[0.9552221653357976,0.044777834664202376]"
26,0.0,0.0,"[0.6816501960089815,0.31834980399101853]"
27,0.0,0.0,"[0.8854492749206196,0.11455072507938036]"
28,0.0,0.0,"[0.8844629019019764,0.1155370980980236]"
29,0.0,1.0,"[0.48014732483491607,0.5198526751650839]"
30,0.0,1.0,"[0.48383738410530996,0.51616261589469]"
31,0.0,1.0,"[0.4664612444578525,0.5335387555421476]"
32,0.0,1.0,"[0.4664612444578525,0.5335387555421476]"
33,0.0,1.0,"[0.4345045989023276,0.5654954010976724]"
34,0.0,1.0,"[0.29052085192393406,0.7094791480760659]"
35,0.0,0.0,"[0.9562338136959584,0.04376618630404161]"
36,0.0,0.0,"[0.9552988560144846,0.04470114398551539]"
37,0.0,0.0,"[0.9552988560144846,0.04470114398551539]"
38,0.0,0.0,"[0.9525142831520058,0.047485716847994186]"
39,0.0,0.0,"[0.8982908320481268,0.10170916795187324]"
40,0.0,0.0,"[0.8840990365312262,0.11590096346877377]"
41,0.0,1.0,"[0.44209614220850973,0.5579038577914903]"
42,0.0,1.0,"[0.44834008430810834,0.5516599156918917]"
43,0.0,1.0,"[0.44834008430810834,0.5516599156918917]"
44,0.0,1.0,"[0.3831183619529622,0.6168816380470378]"
45,0.0,0.0,"[0.9486423575909925,0.05135764240900753]"
46,0.0,1.0,"[0.46980771980634733,0.5301922801936527]"
47,0.0,0.0,"[0.7237111980399189,0.2762888019600811]"
48,0.0,1.0,"[0.44453225265345453,0.5554677473465455]"
49,0.0,1.0,"[0.44453225265345453,0.5554677473465455]"
50,0.0,1.0,"[0.44453225265345453,0.5554677473465455]"
51,0.0,1.0,"[0.40454655163109465,0.5954534483689053]"
52,0.0,1.0,"[0.37519834804207264,0.6248016519579274]"
53,0.0,1.0,"[0.408111723926396,0.591888276073604]"
54,0.0,1.0,"[0.408111723926396,0.591888276073604]"
55,0.0,1.0,"[0.408111723926396,0.591888276073604]"
56,0.0,1.0,"[0.408111723926396,0.591888276073604]"
