FullDate,IsCanceled
20150701,5
20150702,9
20150703,13
20150704,14
20150705,8
20150706,5
20150707,8
20150708,8
20150709,6
20150710,2
20150711,11
20150712,8
20150713,13
20150714,5
20150715,30
20150716,12
20150717,9
20150718,10
20150719,11
20150720,15
20150721,5
20150722,7
20150723,7
20150724,13
20150725,16
20150726,11
20150727,15
20150728,4
20150729,13
20150730,12
20150731,15
20150801,31
20150802,7
20150803,11
20150804,9
20150805,6
20150806,4
20150807,11
20150808,20
20150809,12
20150810,13
20150811,22
20150812,11
20150813,9
20150814,9
20150815,20
20150816,19
20150817,12
20150818,7
20150819,7
20150820,4
20150821,6
20150822,14
20150823,15
20150824,14
20150825,12
20150826,7
20150827,16
20150828,16
20150829,8
20150830,7
20150831,7
20150901,16
20150902,50
20150903,25
20150904,17
20150905,26
20150906,14
20150907,11
20150908,8
20150909,8
20150910,12
20150911,2
20150912,21
20150913,10
20150914,6
20150915,36
20150916,8
20150917,97
20150918,6
20150919,23
20150920,6
20150921,11
20150922,5
20150923,7
20150924,19
20150925,33
20150926,42
20150927,5
20150928,11
20150929,7
20150930,9
20151001,4
20151002,4
20151003,51
20151004,43
20151005,24
20151006,12
20151007,5
20151008,30
20151009,58
20151010,26
20151011,6
20151012,5
20151013,1
20151014,1
20151015,1
20151016,1
20151017,1
20151018,7
20151019,4
20151020,4
20151021,16
20151022,5
20151023,7
20151024,51
20151025,1
20151026,8
20151027,1
20151028,0
20151029,2
20151030,0
20151031,32
20151101,7
20151102,7
20151103,3
20151104,3
20151105,0
20151106,7
20151107,18
20151108,5
20151109,4
20151110,5
20151111,19
20151112,16
20151113,2
20151114,3
20151115,3
20151116,10
20151117,1
20151118,4
20151119,4
20151120,37
20151121,4
20151122,0
20151123,5
20151124,0
20151125,0
20151126,1
20151127,7
20151128,5
20151129,1
20151130,4
20151201,1
20151202,1
20151203,5
20151204,9
20151205,106
20151206,15
20151207,4
20151208,2
20151209,0
20151210,0
20151211,2
20151212,1
20151213,1
20151214,1
20151215,1
20151216,0
20151217,4
20151218,1
20151219,29
20151220,9
20151221,8
20151222,15
20151223,7
20151224,6
20151225,22
20151226,12
20151227,6
20151228,10
20151229,2
20151230,12
20151231,13
20160101,5
20160102,30
20160103,2
20160104,11
20160105,6
20160106,2
20160107,4
20160108,8
20160109,7
20160110,2
20160111,0
20160112,5
20160113,3
20160114,0
20160115,2
20160116,2
20160117,2
20160118,2
20160119,1
20160120,0
20160121,3
20160122,4
20160123,2
20160124,0
20160125,2
20160126,1
20160127,2
20160128,5
20160129,3
20160130,2
20160131,1
20160201,7
20160202,2
20160203,6
20160204,6
20160205,5
20160206,30
20160207,30
20160208,9
20160209,10
20160210,2
20160211,19
20160212,99
20160213,7
20160214,9
20160215,6
20160216,0
20160217,3
20160218,2
20160219,7
20160220,6
20160221,4
20160222,4
20160223,2
20160224,3
20160225,4
20160226,96
20160227,20
20160228,6
20160229,3
20160301,16
20160302,22
20160303,2
20160304,24
20160305,15
20160306,0
20160307,11
20160308,1
20160309,9
20160310,4
20160311,14
20160312,9
20160313,4
20160314,8
20160315,3
20160316,3
20160317,7
20160318,10
20160319,30
20160320,12
20160321,13
20160322,8
20160323,5
20160324,67
20160325,8
20160326,5
20160327,13
20160328,22
20160329,5
20160330,6
20160331,13
20160401,2
20160402,4
20160403,4
20160404,19
20160405,3
20160406,3
20160407,22
20160408,6
20160409,23
20160410,8
20160411,33
20160412,29
20160413,2
20160414,3
20160415,7
20160416,16
20160417,5
20160418,21
20160419,32
20160420,5
20160421,8
20160422,25
20160423,20
20160424,31
20160425,34
20160426,20
20160427,13
20160428,30
20160429,65
20160430,29
20160501,8
20160502,29
20160503,6
20160504,3
20160505,8
20160506,15
20160507,10
20160508,15
20160509,9
20160510,16
20160511,4
20160512,63
20160513,12
20160514,24
20160515,34
20160516,25
20160517,16
20160518,29
20160519,12
20160520,9
20160521,16
20160522,5
20160523,9
20160524,10
20160525,11
20160526,7
20160527,24
20160528,16
20160529,9
20160530,12
20160531,13
20160601,23
20160602,7
20160603,22
20160604,13
20160605,14
20160606,11
20160607,13
20160608,8
20160609,7
20160610,12
20160611,12
20160612,38
20160613,19
20160614,10
20160615,2
20160616,10
20160617,14
20160618,17
20160619,10
20160620,16
20160621,14
20160622,11
20160623,4
20160624,5
20160625,15
20160626,11
20160627,20
20160628,6
20160629,5
20160630,7
20160701,13
20160702,18
20160703,11
20160704,12
20160705,3
20160706,5
20160707,9
20160708,19
20160709,16
20160710,5
20160711,15
20160712,19
20160713,10
20160714,14
20160715,22
20160716,34
20160717,19
20160718,23
20160719,9
20160720,12
20160721,15
20160722,17
20160723,25
20160724,15
20160725,24
20160726,9
20160727,10
20160728,8
20160729,11
20160730,21
20160731,13
20160801,28
20160802,19
20160803,10
20160804,14
20160805,21
20160806,19
20160807,20
20160808,22
20160809,10
20160810,19
20160811,19
20160812,22
20160813,37
20160814,17
20160815,28
20160816,25
20160817,18
20160818,23
20160819,9
20160820,25
20160821,10
20160822,23
20160823,10
20160824,14
20160825,19
20160826,24
20160827,18
20160828,16
20160829,19
20160830,13
20160831,7
20160901,23
20160902,20
20160903,8
20160904,14
20160905,12
20160906,5
20160907,57
20160908,12
20160909,10
20160910,11
20160911,25
20160912,13
20160913,5
20160914,6
20160915,5
20160916,9
20160917,4
20160918,11
20160919,24
20160920,15
20160921,35
20160922,11
20160923,18
20160924,15
20160925,9
20160926,29
20160927,6
20160928,10
20160929,4
20160930,29
20161001,25
20161002,6
20161003,13
20161004,7
20161005,11
20161006,32
20161007,8
20161008,41
20161009,39
20161010,3
20161011,7
20161012,7
20161013,2
20161014,3
20161015,24
20161016,31
20161017,19
20161018,21
20161019,12
20161020,17
20161021,23
20161022,59
20161023,10
20161024,20
20161025,9
20161026,18
20161027,35
20161028,22
20161029,20
20161030,12
20161031,11
20161101,22
20161102,9
20161103,20
20161104,8
20161105,29
20161106,8
20161107,8
20161108,8
20161109,2
20161110,15
20161111,12
20161112,17
20161113,0
20161114,8
20161115,1
20161116,4
20161117,12
20161118,9
20161119,5
20161120,2
20161121,10
20161122,4
20161123,6
20161124,7
20161125,8
20161126,22
20161127,4
20161128,2
20161129,8
20161130,6
20161201,7
20161202,5
20161203,42
20161204,1
20161205,11
20161206,6
20161207,7
20161208,20
20161209,3
20161210,9
20161211,3
20161212,4
20161213,2
20161214,1
20161215,5
20161216,6
20161217,15
20161218,4
20161219,7
20161220,14
20161221,8
20161222,15
20161223,20
20161224,16
20161225,2
20161226,21
20161227,7
20161228,8
20161229,6
20161230,43
20161231,8
20170101,10
20170102,13
20170103,7
20170104,8
20170105,4
20170106,5
20170107,7
20170108,5
20170109,5
20170110,2
20170111,8
20170112,5
20170113,3
20170114,14
20170115,1
20170116,18
