,label,prediction,probability
0,0.0,0.0,"[0.8884304750286717,0.11156952497132833]"
1,0.0,0.0,"[0.8884304750286717,0.11156952497132833]"
2,0.0,0.0,"[0.8766510249655614,0.12334897503443865]"
3,0.0,0.0,"[0.8653444625040015,0.13465553749599846]"
4,0.0,0.0,"[0.8538107273144712,0.14618927268552884]"
5,0.0,0.0,"[0.8538107273144712,0.14618927268552884]"
6,0.0,0.0,"[0.8538107273144712,0.14618927268552884]"
7,0.0,0.0,"[0.8538107273144712,0.14618927268552884]"
8,0.0,0.0,"[0.873616266081326,0.12638373391867397]"
9,0.0,0.0,"[0.8479893753516601,0.15201062464833992]"
10,0.0,0.0,"[0.8479893753516601,0.15201062464833992]"
11,0.0,0.0,"[0.8479893753516601,0.15201062464833992]"
12,0.0,0.0,"[0.8352521250281969,0.1647478749718031]"
13,0.0,0.0,"[0.873616266081326,0.12638373391867397]"
14,0.0,0.0,"[0.873616266081326,0.12638373391867397]"
15,0.0,0.0,"[0.8479893753516601,0.15201062464833992]"
16,0.0,0.0,"[0.8663622761799442,0.1336377238200558]"
17,0.0,0.0,"[0.873616266081326,0.12638373391867397]"
18,0.0,0.0,"[0.8352521250281969,0.1647478749718031]"
19,0.0,0.0,"[0.873616266081326,0.12638373391867397]"
20,0.0,0.0,"[0.8479893753516601,0.15201062464833992]"
21,0.0,0.0,"[0.8262341466046961,0.17376585339530393]"
22,0.0,0.0,"[0.8352521250281969,0.1647478749718031]"
23,0.0,0.0,"[0.7158059063121469,0.2841940936878531]"
24,0.0,0.0,"[0.7449562323030138,0.2550437676969862]"
25,0.0,0.0,"[0.6908461765248514,0.30915382347514864]"
26,0.0,0.0,"[0.6908461765248514,0.30915382347514864]"
27,0.0,0.0,"[0.6700647412374051,0.3299352587625949]"
28,0.0,0.0,"[0.7346762162680363,0.26532378373196375]"
29,0.0,0.0,"[0.7346762162680363,0.26532378373196375]"
30,0.0,0.0,"[0.7346762162680363,0.26532378373196375]"
31,0.0,1.0,"[0.4236194638678478,0.5763805361321521]"
32,0.0,1.0,"[0.4236194638678478,0.5763805361321521]"
33,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
34,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
35,0.0,1.0,"[0.4236194638678478,0.5763805361321521]"
36,0.0,1.0,"[0.41595887487673305,0.5840411251232669]"
37,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
38,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
39,0.0,1.0,"[0.43935389149361914,0.5606461085063809]"
40,0.0,1.0,"[0.41595887487673305,0.5840411251232669]"
41,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
42,0.0,1.0,"[0.4926545496420421,0.507345450357958]"
43,0.0,1.0,"[0.4175274146238529,0.5824725853761471]"
44,0.0,1.0,"[0.48640752587366076,0.5135924741263392]"
45,0.0,1.0,"[0.40989864615855814,0.5901013538414419]"
