,label,prediction,probability
0,0.0,1.0,"[0.4337652035784044,0.5662347964215956]"
1,0.0,1.0,"[0.43168573533028454,0.5683142646697154]"
2,0.0,1.0,"[0.4336345031475955,0.5663654968524044]"
3,0.0,1.0,"[0.4336345248075236,0.5663654751924764]"
4,0.0,1.0,"[0.4329839647928844,0.5670160352071155]"
5,0.0,1.0,"[0.4324640703148702,0.5675359296851298]"
6,0.0,1.0,"[0.43246411360708287,0.5675358863929172]"
7,0.0,1.0,"[0.43246417854540364,0.5675358214545964]"
8,0.0,1.0,"[0.4317285881363817,0.5682714118636183]"
9,0.0,1.0,"[0.4321176796788034,0.5678823203211967]"
10,0.0,1.0,"[0.43008296747196756,0.5699170325280325]"
11,0.0,1.0,"[0.4300829890892089,0.5699170109107912]"
12,0.0,1.0,"[0.43151050927620666,0.5684894907237934]"
13,0.0,1.0,"[0.4307755476372362,0.5692244523627639]"
14,0.0,1.0,"[0.42921835217066334,0.5707816478293366]"
15,0.0,1.0,"[0.4296067404005962,0.5703932595994037]"
16,0.0,1.0,"[0.42977997523828193,0.5702200247617181]"
17,0.0,1.0,"[0.4292610586191191,0.5707389413808809]"
18,0.0,1.0,"[0.42848187976282687,0.5715181202371732]"
19,0.0,1.0,"[0.428785143323742,0.5712148566762579]"
20,0.0,1.0,"[0.42761780909242064,0.5723821909075794]"
21,0.0,1.0,"[0.4290433283445678,0.5709566716554323]"
22,0.0,1.0,"[0.4264941975437761,0.5735058024562238]"
23,0.0,1.0,"[0.42412133609939967,0.5758786639006003]"
24,0.0,1.0,"[0.4237767457928193,0.5762232542071807]"
25,0.0,1.0,"[0.4231723896690636,0.5768276103309363]"
26,0.0,1.0,"[0.4216650020677419,0.5783349979322581]"
27,0.0,1.0,"[0.42205188899242174,0.5779481110075783]"
28,0.0,1.0,"[0.4208046855074849,0.579195314492515]"
29,0.0,1.0,"[0.42080470700271005,0.5791952929972899]"
30,0.0,1.0,"[0.42080470700271005,0.5791952929972899]"
31,0.0,1.0,"[0.41972826227577925,0.5802717377242207]"
32,0.0,1.0,"[0.41972826227577925,0.5802717377242207]"
33,0.0,1.0,"[0.4178384617811037,0.5821615382188964]"
34,0.0,1.0,"[0.41539224691511517,0.5846077530848849]"
35,0.0,1.0,"[0.4157773233187166,0.5842226766812835]"
36,0.0,1.0,"[0.41363458744936527,0.5863654125506347]"
37,0.0,1.0,"[0.41342127627055797,0.586578723729442]"
38,0.0,1.0,"[0.4123946159740375,0.5876053840259625]"
39,0.0,1.0,"[0.41081169806644174,0.5891883019335582]"
40,0.0,1.0,"[0.4106830470338804,0.5893169529661195]"
